questions,answers
Why is nutrition during pregnancy important?,Eating well is one of the best things you can do during pregnancy. Good nutrition helps you handle the extra demands on your body as your pregnancy progresses. The goal is to balance getting enough nutrients to support the growth of your fetus and maintaining a healthy weight.
How much should I eat during pregnancy?,"The popular saying is that pregnant women “eat for two,” but now we know that it’s dangerous to eat twice your usual amount of food during pregnancy. Instead of “eating for two,” think of it as eating twice as healthy.If you are pregnant with one fetus, you need an extra 340 calories per day starting in the second trimester (and a bit more in the third trimester). That's roughly the calorie count of a glass of skim milk and half a sandwich. Women carrying twins should consume about 600 extra calories a day, and women carrying triplets should take in 900 extra calories a day."
Why should I take a prenatal vitamin?,Vitamins and minerals play important roles in all of your body functions. Eating healthy foods and taking a prenatal vitamin every day should supply all the vitamins and minerals you need during pregnancy.
How many prenatal vitamins should I take each day?,"Take only one serving of your prenatal supplement each day. Read the bottle to see how many pills make up one daily serving. If your obstetrician–gynecologist (ob-gyn) or other obstetric care provider  thinks you need an extra amount of a vitamin or mineral, he or she may recommend it as a separate supplement."
Can I take more prenatal vitamins to make up for a deficiency?,"No, do not take more than the recommended amount of your prenatal vitamin per day. Some multivitamin ingredients, such as vitamin A, can cause birth defects at higher doses."
What vitamins and minerals do I need during pregnancy?,"During pregnancy you need folic acid, iron, calcium, vitamin D, choline, omega-3 fatty acids, B vitamins, and vitamin C. See the below table for recommended amounts.Key Vitamins and Minerals During PregnancyCalcium (1,300 milligrams for ages 14 to 18 years; 1,000 milligrams for ages 19 to 50 years) Builds strong bones and teethMilk, cheese, yogurt, sardines, dark green leafy vegetables   Iron (27 milligrams)Helps red blood cells deliver oxygen to your fetusLean red meat, poultry, fish, dried beans and peas, iron-fortified cereals, prune juice   Iodine (220 micrograms)Essential for healthy brain developmentIodized table salt, dairy products, seafood, meat, some breads, eggs   Choline (450 milligrams)Important for development of your fetus’s brain and spinal cordMilk, beef liver, eggs, peanuts, soy products   Vitamin A (750 micrograms for ages 14 to 18 years; 770 micrograms for ages 19 to 50 years)Forms healthy skin and eyesightHelps with bone growthCarrots, green leafy vegetables, sweet potatoes   Vitamin C (80 milligrams for ages 14 to 18 years; 85 milligrams for ages 19 to 50 years)Promotes healthy gums, teeth, and bonesCitrus fruit, broccoli, tomatoes, strawberries   Vitamin D (600 international units)Builds your fetus’s bones and teethHelps promote healthy eyesight and skin
            Sunlight, fortified milk, fatty fish such as salmon and sardines   Vitamin B6 (1.9 milligrams)Helps form red blood cellsHelps body use protein, fat, and carbohydrates
            Beef, liver, pork, ham, whole-grain cereals, bananas    Vitamin B12 (2.6 micrograms)Maintains nervous systemHelps form red blood cells
            Meat, fish, poultry, milk (vegetarians should take a supplement)   Folic acid (600 micrograms)Helps prevent birth defects of the brain and spineSupports the general growth and development of the fetus and placenta
            Fortified cereal, enriched bread and pasta, peanuts, dark green leafy vegetables, orange juice, beans. Also, take a daily prenatal vitamin with 400 micrograms of folic acid."
How can being overweight or obese cause problems during pregnancy?,"Excess weight during pregnancy is associated with several pregnancy and childbirth complications, including:High blood pressurePreeclampsiaPreterm birthGestational diabetesObesity during pregnancy also increases the risk of:MacrosomiaBirth injuryCesarean birthBirth defects, especially neural tube defects (NTDs)"
What is folic acid?,"Folic acid, also known as folate, is a B vitamin that is important for pregnant women. Folic acid may help prevent major birth defects of the fetus’s brain and spine called neural tube defects (NTDs)."
How much folic acid should I take?,"When you are pregnant you need 600 micrograms of folic acid each day. Because it’s hard to get this much folic acid from food alone, you should take a daily prenatal vitamin with at least 400 micrograms starting at least 1 month before pregnancy and during the first 12 weeks of pregnancy.Women who have had a child with an NTD should take 4 milligrams (mg) of folic acid each day as a separate supplement at least 3 months before pregnancy and for the first 3 months of pregnancy. You and your ob-gyn or other obstetric care provider can discuss whether you need to supplement with more than 400 micrograms daily."
Why is iron important during pregnancy?,"Iron is used by your body to make the extra blood that you and your fetus need during pregnancy. Women who are not pregnant need 18 mg of iron per day. Pregnant women need more, 27 mg per day. This increased amount is found in most prenatal vitamins."
How can I make sure I’m getting enough iron?,"In addition to taking a prenatal vitamin with iron, you should eat iron-rich foods such as beans, lentils, enriched breakfast cereals, beef, turkey, liver, and shrimp. You also should eat foods that help your body absorb iron, including orange juice, grapefruit, strawberries, broccoli, and peppers."
What is calcium?,"Calcium is a mineral that builds your fetus’s bones and teeth. Women who are age 18 or younger need 1,300 mg of calcium per day. Women who are 19 or older need 1,000 mg per day."
What foods contain calcium?,"Milk and other dairy products, such as cheese and yogurt, are the best sources of calcium. If you have trouble digesting milk products, you can get calcium from other sources, such as broccoli, fortified foods (cereals, breads, and juices), almonds and sesame seeds, sardines or anchovies with the bones, and dark green leafy vegetables. You also can get calcium from calcium supplements."
What does vitamin D do in the body?,"Vitamin D works with calcium to help the fetus’s bones and teeth develop. Vitamin D also is essential for healthy skin and eyesight. All women, pregnant or not, need 600 international units of vitamin D a day."
What foods contain vitamin D?,"Good sources of vitamin D include fortified milk and breakfast cereal, fatty fish (salmon and mackerel), fish liver oils, and egg yolks."
